applid,pmid,coreproject
10021545,28723302,R21AT010125
10170284,31174929,R21AT009932
10207589,34473953,R01DE027454
10207589,33515176,R01DE027454
10207589,30442166,R01DE027454
10207589,34707084,R01DE027454
10362236,32424286,R01DE027454
10207589,33819485,R01DE027454
10474676,33758095,R01DE027454
10392607,30337302,R01AI132030
10021386,28362146,R01AI132030
9903175,32440971,R01AI132030
10021386,33867491,R01AI132030
10021386,29628784,R01AI132030
10021386,33523187,R01AI132030
10021386,32577335,R01AI132030
9903175,30001360,R01AI132030
10420360,27427928,R01AI132030
9903175,31116356,R01AI132030
10021386,29864105,R01AI132030
10425113,33406395,R01AI132030
10420360,30614403,R01AI132030
9903175,29724707,R01AI132030
10219462,33570000,R01AI132030
10478434,33574500,R01AI132030
10219462,33006979,R01AI132030
9903175,29801949,R01AI132030
10420360,29278678,R01AI132030
10128225,30696086,R01AI132030
10021386,32589152,R01AI132030
10232308,31250195,R01AI132030
10251366,32098843,UG3DA048385
10020321,31404850,R21AT010109
10020321,34134880,R21AT010109
10198965,32978671,R01HD096800
10198965,32705966,R01HD096800
10198965,33418054,R01HD096800
10198965,33065196,R01HD096800
10198965,33728947,R01HD096800
10198965,34100292,R01HD096800
10457738,33481403,R01HD096800
10198965,34029273,R01HD096800
10178062,31342518,R01HD096798
10178062,33763662,R01HD096798
10215450,33060464,R01HD096798
10232058,34479978,R01HD096798
10301422,33901729,R01HD096798
10178062,31358302,R01HD096798
10152373,31323217,R01HD096796
10152373,18573861,R01HD096796
