applid,coreproject,pmid
10438018,UG1DA050066,33419602
10233551,UG1DA050066,34739498
10233551,UG1DA050066,33745757
10242015,UG1DA050066,31959322
10233551,UG1DA050066,33734850
10438018,UG1DA050065,33419602
10145633,UG1DA050065,33461829
10451986,UG1DA049468,32353544
10399907,UG1DA049468,33605847
10403871,UG1DA049467,33359220
10403871,UG1DA049467,34178292
10403871,UG1DA049467,31574300
10403871,UG1DA049467,32250276
10403871,UG1DA049467,33035229
10403871,UG1DA049467,33103976
10403871,UG1DA049467,34724134
10411763,UG1DA049467,33731210
10408298,UG1DA049467,31914971
10430302,UG1DA049467,34665758
10411763,UG1DA049467,34729829
10403871,UG1DA049467,31310611
10411763,UG1DA049467,34383925
10403871,UG1DA049467,33397145
10403871,UG1DA049467,32450882
10403871,UG1DA049467,31605516
10403871,UG1DA049467,32845244
10403871,UG1DA049467,31689260
10403871,UG1DA049467,33509278
10403871,UG1DA049467,31267980
10403871,UG1DA049467,30602031
10403871,UG1DA049467,32349766
10143220,UG1DA049444,33074851
10143220,UG1DA049444,32697171
10143220,UG1DA049444,29266062
10451986,UG1DA049444,32353544
10143220,UG1DA049444,32652077
10143220,UG1DA049444,34419233
10237335,UG1DA049444,31847783
10143220,UG1DA049444,32097755
10441986,UG1DA049444,34610516
10143220,UG1DA049444,32631183
10381289,UG1DA049444,34524070
10369090,UG1DA049444,33145681
10143220,UG1DA049444,33798034
10143220,UG1DA049444,31180808
10381289,UG1DA049444,32359670
10220918,UG1DA049444,34061152
10274904,UG1DA049444,34283690
10143220,UG1DA049444,32697170
10143220,UG1DA049444,33547570
10143220,UG1DA049444,29762272
10441668,UG1DA049444,31034028
10143220,UG1DA049444,33386733
10274904,UG1DA049444,33301347
10474728,UG1DA049436,33517894
10474728,UG1DA049436,31835068
10451986,UG1DA049436,32353544
10442205,UG1DA049436,34233750
10336684,UG1DA049435,34030743
10336684,UG1DA049435,32579751
10336684,UG1DA049435,33432189
10336684,UG1DA049435,34670619
10399327,UG1DA049435,32220409
10401158,UG1DA049435,33879260
10401158,UG1DA049435,34105213
10190882,UF1MH121954,33140040
10140834,UF1MH121954,33713840
10190882,UF1MH121954,33469746
9905308,UF1MH121949,31764390
10197802,UF1MH121949,34404466
10207774,UF1MH121944,33631356
9902764,UF1MH121942,32058338
10450300,U44NS115692,33203717
10406102,U44NS115111,32615588
10406102,U44NS115111,33862596
10406102,U44NS115111,33548917
10406102,U44NS115111,33502508
10406102,U44NS115111,34131761
10406102,U44NS115111,33559678
9882805,U2CDA050098,34315335
10442044,U2CDA050098,33579622
10474728,U2CDA050098,33251171
9882805,U2CDA050098,34286669
10233551,U2CDA050098,34739498
9903175,U2CDA050098,32440971
10219462,U2CDA050098,33570000
10438018,U2CDA050098,33419602
10258730,U2CDA050098,32564809
10405235,U2CDA050097,33762145
10405235,U2CDA050097,34644126
10232155,U24NS115708,33449563
10232155,U24NS115708,33690845
10232155,U24NS115708,33028647
10232155,U24NS115708,33551451
10232155,U24NS115708,33962452
10232155,U24NS115708,33792582
10406548,U24NS115679,34369175
10415455,U24NS113847,33269951
10474719,U24NS113844,32826430
10474719,U24NS113844,33519693
9864857,U24NS113800,32838979
10475980,UG3DA050235,34565444
10208316,UG3DA050193,34080556
10168176,UG3DA050174,34749744
10397259,UG3DA050173,34352386
10469886,UG3DA049694,32768993
9843968,UG3DA049598,34011529
10227130,UG3DA048775,33113208
10240494,UG3DA048774,34114163
9897469,UG3DA048774,32645336
9897469,UG3DA048774,33331774
9897469,UG3DA048774,33148404
9897469,UG3DA048774,32919245
10200865,UG3DA048768,32623017
10256783,UG3DA048768,32822742
10451849,UG3DA048767,33007552
10026019,UG3DA048767,33550801
10454583,UG3DA048734,34096756
10454583,UG3DA048734,31391211
10454583,UG3DA048734,31385846
10454583,UG3DA048734,32572978
10454583,UG3DA048734,32650192
10454583,UG3DA048734,33022538
10454583,UG3DA048734,34264734
10454583,UG3DA048734,33128093
10454583,UG3DA048734,31710994
10454583,UG3DA048734,33560698
10454583,UG3DA048734,31757261
10454583,UG3DA048734,32781310
10454583,UG3DA048734,31704379
10454583,UG3DA048734,34619714
10454583,UG3DA048734,32031650
10459812,UG3DA048502,33344717
10459812,UG3DA048502,32960179
10402169,UG3DA048502,34778863
10402169,UG3DA048502,32297773
10402169,UG3DA048502,32659483
10413556,UG3DA048502,34332156
10413556,UG3DA048502,34517143
10459812,UG3DA048502,32823562
